id,source_file,timestamp,density,group,species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240704/10MIN/WINDOWS_20240704.csv,39:25.5,1.036288,1,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005928854,0.019762846,0.02173913,0.183794466,0.193675889,0.035573123,0.027667984,0.011857708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,59:04.9,1.118208,2,None,0.003663004,0.007326007,0.009157509,0.003663004,0.009157509,0.003663004,0,0,0,0.005494505,0.018315018,0.012820513,0,0.001831502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831502,0.003663004,0.003663004,0.014652015,0.014652015,0.034798535,0.001831502,0,0,0,0,0,0,0,0.005494505,0.007326007,0.098901099,0.144688645,0.023809524,0.001831502,0.038461538,0.02014652,0.009157509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,03:08.9,1.00352,2,None,0,0.002040816,0.006122449,0.02244898,0.012244898,0.004081633,0.004081633,0.016326531,0,0.018367347,0.024489796,0.012244898,0.016326531,0.026530612,0.008163265,0.010204082,0.004081633,0.008163265,0.008163265,0.006122449,0.002040816,0.006122449,0.004081633,0.008163265,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006122449,0.012244898,0.006122449,0.075510204,0.114285714,0.010204082,0.02244898,0.018367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,04:24.9,1.10592,2,None,0.003703704,0.011111111,0.018518519,0.009259259,0.012962963,0.001851852,0.005555556,0.007407407,0.007407407,0,0,0,0,0.007407407,0.009259259,0.018518519,0.014814815,0.018518519,0.027777778,0.02037037,0.011111111,0,0.012962963,0.012962963,0.005555556,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0.007407407,0.025925926,0.005555556,0.057407407,0.107407407,0.027777778,0.003703704,0.012962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,07:12.9,1.048576,2,None,0.04296875,0.013671875,0.03515625,0.01171875,0.015625,0.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0.0078125,0.009765625,0.1171875,0.171875,0.03125,0.0078125,0.013671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,07:16.9,1.2288,2,None,0.03,0.006666667,0.015,0.001666667,0.016666667,0.02,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.003333333,0.003333333,0.008333333,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.015,0.021666667,0.14,0.15,0.023333333,0.005,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,20:24.9,1.16736,3,None,0,0,0,0,0,0,0,0,0.01754386,0.054385965,0.003508772,0,0.015789474,0.026315789,0,0,0,0,0,0,0,0,0.01754386,0.021052632,0.001754386,0,0,0.005263158,0.010526316,0.036842105,0.001754386,0.003508772,0.019298246,0.001754386,0.035087719,0.001754386,0,0,0,0,0.01754386,0.00877193,0.01754386,0.021052632,0.010526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001754386,0.007017544,0.073684211,0.054385965,0.007017544,0.001754386,0.003508772,0.001754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,20:28.9,1.007616,3,None,0,0,0,0,0,0,0,0,0,0,0,0,0.004065041,0.030487805,0.008130081,0.010162602,0.00203252,0.024390244,0.020325203,0,0,0,0,0,0.00203252,0.014227642,0.014227642,0.008130081,0.012195122,0.079268293,0.004065041,0,0,0.006097561,0.034552846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010162602,0.004065041,0.014227642,0.083333333,0.083333333,0.018292683,0.010162602,0.00203252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,20:40.9,1.880064,3,None,0,0.004357298,0.001089325,0.016339869,0,0,0.001089325,0.004357298,0.025054466,0.008714597,0.005446623,0.002178649,0,0.005446623,0.002178649,0.01416122,0.001089325,0,0,0.004357298,0.008714597,0.001089325,0.011982571,0.002178649,0.02832244,0.021786492,0.005446623,0.05664488,0.030501089,0.005446623,0.010893246,0.022875817,0.009803922,0.022875817,0.015250545,0.002178649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011982571,0.033769063,0.002178649,0.034858388,0.050108932,0.015250545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,21:20.9,1.052672,3,None,0.001945525,0.025291829,0.040856031,0.001945525,0,0,0,0,0,0,0,0.013618677,0.052529183,0.011673152,0,0,0.009727626,0.031128405,0,0,0,0,0,0.013618677,0.027237354,0.007782101,0,0,0,0,0,0.009727626,0.038910506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001945525,0.060311284,0.007782101,0.023346304,0.007782101,0.001945525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005836576,0.052529183,0.042801556,0.009727626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
