id,species,enc_id,rec_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90
83,Oor,109,2009-07-01a.wav,0.04973822,0.052356021,0.020942408,0.083769634,0.115183246,0.013089005,0,0,0,0,0.028795812,0.023560209,0,0,0,0.013089005,0.04973822,0.028795812,0.031413613,0.086387435,0,0,0,0,0,0,0,0,0.015706806,0.031413613,0.015706806,0.028795812,0.020942408,0.023560209,0.065445026,0,0,0,0,0,0,0.010471204,0.031413613,0.007853403,0.015706806,0.015706806,0.023560209,0.007853403,0.034031414,0.054973822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Oor,109,2009-07-01a.wav,0.015915119,0.018567639,0.013262599,0.050397878,0.050397878,0.013262599,0,0.00265252,0.074270557,0.042440318,0.01061008,0,0,0,0.00795756,0.01061008,0.018567639,0.055702918,0.047745358,0.00530504,0.01061008,0.00795756,0.015915119,0.029177719,0.029177719,0.034482759,0.023872679,0.026525199,0.023872679,0.01061008,0,0,0,0,0,0,0.015915119,0.026525199,0.042440318,0.021220159,0.039787798,0.055702918,0.029177719,0.021220159,0.039787798,0.031830239,0.023872679,0.00265252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Oor,107,2009-06-28a.wav,0.002583979,0.051679587,0.043927649,0.033591731,0.043927649,0.012919897,0.002583979,0.010335917,0.023255814,0.023255814,0.028423773,0.095607235,0.015503876,0.007751938,0.015503876,0.031007752,0.028423773,0,0,0,0,0,0.023255814,0.041343669,0,0,0,0,0.005167959,0.023255814,0.028423773,0.072351421,0.067183463,0.025839793,0.023255814,0.007751938,0,0.002583979,0,0,0,0,0.002583979,0.010335917,0.018087855,0.028423773,0,0,0,0,0,0.005167959,0.002583979,0.010335917,0.007751938,0.005167959,0.007751938,0.012919897,0.002583979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018087855,0.025839793,0.049095607,0.002583979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Oor,109,2009-07-01a.wav,0.039370079,0.049868766,0.018372703,0.005249344,0.007874016,0.036745407,0.010498688,0.005249344,0.020997375,0.094488189,0.112860892,0.028871391,0.036745407,0.020997375,0.01312336,0,0,0,0.020997375,0.047244094,0.044619423,0.026246719,0.018372703,0.026246719,0.015748031,0.01312336,0.005249344,0.010498688,0.036745407,0.031496063,0.026246719,0.034120735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023622047,0.06824147,0.01312336,0.01312336,0,0.023622047,0,0,0,0,0,0,0,0,0
87,Oor,109,2009-07-01a.wav,0.013020833,0.015625,0.013020833,0.020833333,0.010416667,0.036458333,0.0625,0.057291667,0.013020833,0.002604167,0.002604167,0,0,0,0,0.013020833,0.0390625,0.005208333,0.002604167,0.005208333,0.0078125,0.013020833,0.015625,0.046875,0.026041667,0.033854167,0.03125,0.0078125,0.0078125,0,0,0,0,0.046875,0.033854167,0.057291667,0.013020833,0.018229167,0.0078125,0.018229167,0.026041667,0.026041667,0.020833333,0.0078125,0.010416667,0,0.020833333,0.036458333,0.0078125,0.026041667,0.026041667,0.010416667,0,0,0,0.005208333,0.010416667,0.0234375,0.026041667,0.0078125,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Oor,318,SI20080723_120345.wav,0.002583979,0.07751938,0,0,0.005167959,0.108527132,0.005167959,0,0.005167959,0.100775194,0,0,0.002583979,0.098191214,0,0,0.005167959,0.082687339,0,0.002583979,0.020671835,0.07751938,0.010335917,0.015503876,0.033591731,0.074935401,0,0.018087855,0.018087855,0.051679587,0,0.007751938,0.002583979,0.082687339,0.002583979,0.012919897,0.007751938,0.046511628,0.015503876,0.005167959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Oor,109,2009-07-01a.wav,0.026385224,0.029023747,0.015831135,0.031662269,0.065963061,0.060686016,0.018469657,0.036939314,0.029023747,0.055408971,0.002638522,0.047493404,0.129287599,0.031662269,0.013192612,0.023746702,0,0,0,0,0,0.052770449,0.01055409,0.005277045,0.002638522,0,0,0,0,0,0,0.042216359,0.042216359,0.013192612,0.013192612,0.007915567,0,0,0.005277045,0.013192612,0.013192612,0.005277045,0.013192612,0.018469657,0.034300792,0.029023747,0.005277045,0,0,0,0,0,0,0,0.013192612,0.007915567,0.023746702,0,0.007915567,0.002638522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Ttr,84,150704F1_01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0.034042553,0.093617021,0.068085106,0.021276596,0.093617021,0.063829787,0.063829787,0.017021277,0.017021277,0.012765957,0.017021277,0.004255319,0.034042553,0.059574468,0.076595745,0.055319149,0.042553191,0.085106383,0.008510638,0.004255319,0,0.004255319,0.004255319,0.004255319,0.004255319,0,0.008510638,0.004255319,0.008510638,0.004255319,0.012765957,0.05106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Ttr,95,1608f1-Track01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0.034042553,0.093617021,0.068085106,0.021276596,0.093617021,0.063829787,0.063829787,0.017021277,0.017021277,0.012765957,0.017021277,0.004255319,0.034042553,0.059574468,0.076595745,0.055319149,0.042553191,0.085106383,0.008510638,0.004255319,0,0.004255319,0.004255319,0.004255319,0.004255319,0,0.008510638,0.004255319,0.008510638,0.004255319,0.012765957,0.05106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Ttr,84,150704F1_01.wav,0,0,0,0,0,0,0,0.053140097,0.038647343,0.033816425,0,0,0,0,0,0,0,0.004830918,0.004830918,0.004830918,0.009661836,0.004830918,0.101449275,0.038647343,0.004830918,0.019323671,0.014492754,0.024154589,0.004830918,0.038647343,0.048309179,0.028985507,0,0,0.004830918,0.057971014,0.043478261,0.019323671,0.053140097,0.043478261,0.028985507,0.057971014,0.019323671,0.004830918,0,0.004830918,0.004830918,0,0,0.004830918,0,0.004830918,0,0,0.009661836,0.019323671,0.028985507,0.009661836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830918,0.038647343,0.057971014,0,0,0,0,0,0,0,0,0,0,0
93,Ttr,95,1608f1-Track01.wav,0,0,0,0,0,0,0,0.053140097,0.038647343,0.033816425,0,0,0,0,0,0,0,0.004830918,0.004830918,0.004830918,0.009661836,0.004830918,0.101449275,0.038647343,0.004830918,0.019323671,0.014492754,0.024154589,0.004830918,0.038647343,0.048309179,0.028985507,0,0,0.004830918,0.057971014,0.043478261,0.019323671,0.053140097,0.043478261,0.028985507,0.057971014,0.019323671,0.004830918,0,0.004830918,0.004830918,0,0,0.004830918,0,0.004830918,0,0,0.009661836,0.019323671,0.028985507,0.009661836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830918,0.038647343,0.057971014,0,0,0,0,0,0,0,0,0,0,0
94,Ttr,95,1608f1-Track01.wav,0,0,0,0,0,0,0.02020202,0.01010101,0.060606061,0.015151515,0,0,0,0,0,0,0,0,0,0.005050505,0.060606061,0.151515152,0.060606061,0.055555556,0.015151515,0.03030303,0.035353535,0,0,0,0,0,0.015151515,0.015151515,0.045454545,0.085858586,0.01010101,0,0.005050505,0.005050505,0.005050505,0.03030303,0.01010101,0,0,0,0,0,0,0,0,0.065656566,0.075757576,0.075757576,0.03030303,0.005050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ttr,84,150704F1_01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005063291,0,0.002531646,0.002531646,0.002531646,0.002531646,0.015189873,0.015189873,0.007594937,0.007594937,0.015189873,0.012658228,0.015189873,0.005063291,0.035443038,0.04556962,0.030379747,0.043037975,0.055696203,0.020253165,0.027848101,0.032911392,0.025316456,0.032911392,0.007594937,0.012658228,0.010126582,0.015189873,0.017721519,0.015189873,0.010126582,0.007594937,0.010126582,0.002531646,0.002531646,0.002531646,0,0.002531646,0.002531646,0.005063291,0,0.005063291,0.005063291,0.005063291,0.005063291,0.007594937,0.005063291,0.005063291,0.017721519,0.005063291,0.010126582,0.007594937,0.017721519,0.002531646,0.020253165,0.005063291,0.007594937,0.015189873,0.010126582,0.017721519,0.030379747,0.030379747,0.007594937,0.015189873,0.007594937,0.017721519,0.02278481,0.037974684,0.012658228,0.020253165,0.02278481,0.010126582,0,0.007594937,0,0
96,Ttr,95,1608f1-Track01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075829384,0.08056872,0.004739336,0.09478673,0.014218009,0.004739336,0.061611374,0.146919431,0,0,0,0,0,0.004739336,0.009478673,0.009478673,0.004739336,0.004739336,0.018957346,0.004739336,0.009478673,0.014218009,0.004739336,0.018957346,0,0.004739336,0.014218009,0.014218009,0.042654028,0.061611374,0.028436019,0.056872038,0.009478673,0.004739336,0.004739336,0.004739336,0.014218009,0,0.004739336,0.004739336,0.009478673,0.014218009,0.009478673,0.009478673,0.004739336,0.009478673,0.004739336,0.004739336,0.018957346,0.018957346,0.004739336,0.018957346,0.014218009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Ttr,84,150704F1_01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0.024793388,0.070247934,0.037190083,0.041322314,0.037190083,0,0,0.033057851,0.012396694,0.033057851,0.024793388,0.004132231,0,0.008264463,0.020661157,0.045454545,0.004132231,0.012396694,0,0,0,0,0,0.024793388,0.061983471,0.008264463,0.016528926,0.045454545,0.037190083,0,0,0,0.012396694,0.041322314,0.061983471,0.004132231,0.033057851,0.02892562,0.045454545,0,0,0,0,0,0,0,0,0.020661157,0.012396694,0,0.004132231,0.049586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0,0.020661157,0.05785124,0,0,0,0,0,0,0,0,0
98,Ttr,95,1608f1-Track01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0.024793388,0.070247934,0.037190083,0.041322314,0.037190083,0,0,0.033057851,0.012396694,0.033057851,0.024793388,0.004132231,0,0.008264463,0.020661157,0.045454545,0.004132231,0.012396694,0,0,0,0,0,0.024793388,0.061983471,0.008264463,0.016528926,0.045454545,0.037190083,0,0,0,0.012396694,0.041322314,0.061983471,0.004132231,0.033057851,0.02892562,0.045454545,0,0,0,0,0,0,0,0,0.020661157,0.012396694,0,0.004132231,0.049586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0,0.020661157,0.05785124,0,0,0,0,0,0,0,0,0
99,Ttr,84,150704F1_01.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003636364,0,0.007272727,0.007272727,0.003636364,0.036363636,0.04,0.029090909,0.050909091,0.061818182,0.069090909,0.018181818,0.018181818,0.014545455,0.010909091,0.061818182,0.032727273,0.025454545,0.018181818,0.014545455,0.007272727,0.003636364,0.010909091,0.010909091,0.025454545,0.010909091,0.058181818,0.069090909,0.018181818,0.014545455,0.018181818,0.014545455,0.029090909,0.003636364,0,0.003636364,0.003636364,0.003636364,0.003636364,0,0.003636364,0,0,0.003636364,0.010909091,0.058181818,0.014545455,0,0,0,0,0,0,0,0,0,0,0.003636364,0.014545455,0.003636364,0.003636364,0.003636364,0.029090909,0.014545455,0.003636364,0,0,0,0,0,0,0,0,0
100,Ttr,626,140611_0930_1.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.023076923,0.020512821,0.025641026,0.012820513,0.017948718,0.023076923,0.038461538,0.015384615,0.030769231,0.035897436,0.038461538,0.023076923,0.023076923,0.053846154,0.074358974,0.043589744,0.035897436,0.030769231,0.015384615,0.01025641,0.017948718,0.017948718,0.01025641,0.015384615,0.017948718,0.023076923,0.002564103,0.012820513,0.028205128,0.01025641,0.012820513,0.005128205,0.017948718,0.005128205,0.01025641,0.012820513,0.005128205,0.01025641,0.005128205,0.005128205,0.007692308,0.002564103,0.012820513,0.012820513,0.023076923,0.002564103,0.002564103,0.007692308,0.002564103,0.005128205,0.01025641,0.01025641,0.005128205,0.007692308,0.012820513,0.002564103,0,0,0,0,0,0,0,0,0,0,0,0,0
