id,source_file,timestamp,density,group,species,1,2,3,4,5,6,7
24,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,25:28.9,1.142784,3,None,0.049221024,0.20525202,0.40801772,0.061942767,0.016716668,0.1409425,0.11790724
25,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,25:36.9,1.818624,3,None,0.036616214,0.1648965,0.35938013,0.06164614,0.006930571,0.27882457,0.091705896
26,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,25:40.9,1.024,3,None,0.045262873,0.21561669,0.33079025,0.058250185,0.01054682,0.14652993,0.19300325
27,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,25:44.9,1.376256,3,None,0.04347987,0.2608247,0.37728733,0.07131302,0.014504089,0.14339258,0.089198336
28,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,26:24.9,1.613824,3,None,0.08842355,0.24051213,0.27383423,0.1008648,0.02776585,0.17539185,0.09320755
29,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,26:32.9,1.26976,3,None,0.061146267,0.24637645,0.24131407,0.10085587,0.014727023,0.21814497,0.11743539
30,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,27:36.9,1.040384,3,None,0.08978748,0.25449902,0.1702471,0.12209037,0.04897571,0.07270756,0.24169281
31,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,27:40.9,1.257472,3,None,0.1082356,0.24267562,0.2535572,0.13463487,0.053201076,0.07259537,0.13510026
32,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,04:48.0,1.744896,4,None,0.10190783,0.23432869,0.17362711,0.17754956,0.04313548,0.12100794,0.14844343
33,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,04:52.0,1.171456,4,None,0.037681714,0.23665191,0.3354216,0.044604324,0.009365845,0.21856286,0.1177118
34,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,04:56.0,1.703936,4,None,0.123337954,0.29109743,0.12619719,0.16015342,0.022291053,0.13232334,0.14459956
35,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,05:00.0,1.118208,4,None,0.12802324,0.24852543,0.14798062,0.12760556,0.022397732,0.18049692,0.14497055
36,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,05:44.0,1.302528,4,None,0.07875077,0.36240894,0.10534968,0.1331467,0.0180015,0.19620119,0.10614122
37,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,05:48.0,1.748992,4,None,0.11310108,0.26259446,0.16037731,0.16833106,0.02374489,0.11841954,0.15343176
38,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,05:52.0,2.461696,4,None,0.07758681,0.36321232,0.09355339,0.12421264,0.022686593,0.15021865,0.1685296
39,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,05:56.0,2.031616,4,None,0.12031385,0.29028347,0.121740535,0.14973205,0.028925456,0.12861685,0.16038781
40,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:00.0,2.584576,4,None,0.0950876,0.27964205,0.08903974,0.2085258,0.046599273,0.07544253,0.205663
41,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:40.0,2.035712,4,None,0.08564136,0.23921457,0.115022354,0.2145965,0.057290405,0.07548655,0.21274832
42,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:44.0,2.84672,4,None,0.092045,0.34230796,0.09283044,0.13573442,0.029110158,0.0901609,0.21781105
43,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:48.0,1.888256,4,None,0.1444446,0.31786337,0.07824798,0.18577994,0.029231232,0.08208521,0.16234773
44,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:52.0,1.765376,4,None,0.104006246,0.37941727,0.08791769,0.12828083,0.02068769,0.10777995,0.17191032
45,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,06:56.0,1.114112,4,None,0.12031287,0.28261548,0.13210812,0.17445196,0.07039584,0.0628743,0.15724148
46,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,07:00.0,1.974272,4,None,0.16604358,0.28843132,0.07810762,0.14959694,0.026843611,0.08874493,0.20223199
47,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,07:40.0,1.04448,4,None,0.09958843,0.29458976,0.1570119,0.13431107,0.018310605,0.11597371,0.18021452
48,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,07:44.0,1.134592,4,None,0.11116223,0.1765315,0.15845592,0.13125557,0.033264387,0.07787008,0.31146038
49,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,07:52.0,2.351104,4,None,0.15014547,0.2402933,0.09569578,0.19672483,0.065957345,0.068627045,0.1825562
50,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,07:56.0,1.4336,4,None,0.13679701,0.29041106,0.13914512,0.16933727,0.02412283,0.08998638,0.15020028
51,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,08:00.0,2.12992,4,None,0.1136881,0.24877243,0.11796567,0.1585725,0.038456637,0.077462636,0.24508213
52,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,08:48.0,1.183744,4,None,0.07590524,0.21878834,0.13600238,0.25796562,0.051531397,0.06553165,0.19427532
53,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,08:52.0,1.339392,4,None,0.18890415,0.2025151,0.110306226,0.18771589,0.024851754,0.110375136,0.17533173
54,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,08:56.0,1.343488,4,None,0.16244456,0.2029038,0.101704895,0.19264323,0.09771692,0.06909992,0.17348671
55,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,09:00.0,1.806336,4,None,0.09500464,0.1481847,0.108594544,0.20706688,0.11489638,0.08082972,0.24542311
56,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,09:48.0,1.642496,4,None,0.09908088,0.1928491,0.13522209,0.16213524,0.0865604,0.09615578,0.22799659
57,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240730/10MIN/WINDOWS_20240730.csv,10:48.0,1.130496,4,None,0.04818899,0.26893243,0.21086456,0.08260303,0.022369422,0.14978634,0.21725523
58,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240813/10MIN/WINDOWS_20240813.csv,12:05.9,1.019904,5,None,0.035945855,0.34962058,0.22603413,0.061094377,0.008240399,0.21224566,0.106819
59,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240901/10MIN/WINDOWS_20240901.csv,16:20.1,3.678208,6,None,0.17079741,0.20264696,0.1153858,0.20643714,0.038108278,0.0912112,0.17541325
60,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240901/10MIN/WINDOWS_20240901.csv,16:24.1,9.330688,6,None,0.12360228,0.24074958,0.13845055,0.17507851,0.031538945,0.09915754,0.1914226
61,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240901/10MIN/WINDOWS_20240901.csv,17:04.1,1.224704,6,None,0.14850369,0.21512662,0.15046358,0.18748572,0.06078515,0.073522605,0.16411261
62,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,04:31.5,5.197824,7,SRKW,0.05174814,0.20039272,0.23193486,0.08764363,0.008783633,0.19913645,0.22036056
63,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,04:35.5,1.540096,7,SRKW,0.0628267,0.17100893,0.24967682,0.10544101,0.015979087,0.14757615,0.24749124
64,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,05:15.5,2.424832,7,SRKW,0.07707693,0.22714789,0.17043519,0.096924186,0.0204385,0.18644,0.22153732
65,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,05:19.5,3.284992,7,SRKW,0.07482513,0.21735013,0.23279428,0.12248742,0.013282965,0.19550009,0.14375994
66,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,05:23.5,2.158592,7,SRKW,0.06554306,0.2428735,0.14983794,0.09923958,0.019397512,0.19139272,0.23171566
67,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,07:23.5,2.74432,7,SRKW,0.06945321,0.29889014,0.16844897,0.07996089,0.017795749,0.28658345,0.07886761
68,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,07:35.5,2.531328,7,SRKW,0.058782406,0.2392041,0.21496327,0.08420789,0.008089638,0.32104334,0.07370936
69,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,07:39.5,1.1264,7,SRKW,0.18100025,0.23456112,0.11378302,0.14828151,0.046832968,0.18675488,0.08878631
70,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,08:23.5,1.081344,7,SRKW,0.16306141,0.21635541,0.16607437,0.15722357,0.02723318,0.11504372,0.15500833
71,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,08:27.5,2.285568,7,SRKW,0.07717526,0.261327,0.2219914,0.10427975,0.010525432,0.23599572,0.08870548
72,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,08:31.5,1.855488,7,SRKW,0.06629701,0.23033288,0.1373868,0.120263815,0.022539562,0.16672285,0.25645703
73,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:19.5,1.138688,7,SRKW,0.018516188,0.21830787,0.26288438,0.04016372,0.002498323,0.3999992,0.05763031
74,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:23.5,2.977792,7,SRKW,0.047539067,0.23882282,0.1608633,0.07694981,0.009114615,0.27205086,0.19465956
75,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:27.5,2.121728,7,SRKW,0.04381183,0.19684413,0.23630328,0.06882234,0.008963482,0.23352408,0.21173076
76,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:31.5,1.437696,7,SRKW,0.03294975,0.23485078,0.28995636,0.047661595,0.007725672,0.32105553,0.065800354
77,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:35.5,1.703936,7,SRKW,0.046167765,0.162757,0.2710586,0.071940176,0.012062038,0.28063378,0.15538071
78,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,09:39.5,1.101824,7,SRKW,0.09976739,0.2348161,0.09117603,0.14866647,0.016762275,0.13869649,0.27011526
79,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,10:19.5,3.33824,7,SRKW,0.05882009,0.20126534,0.2890904,0.08290496,0.009032823,0.2724355,0.08645085
80,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,10:23.5,5.234688,7,SRKW,0.092023455,0.2671312,0.16465385,0.11558833,0.016971879,0.17627333,0.16735788
81,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,10:27.5,3.878912,7,SRKW,0.04195648,0.2734116,0.18017691,0.06333357,0.006605723,0.2838542,0.15066156
82,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,10:31.5,5.292032,7,SRKW,0.098299205,0.23450626,0.17110121,0.12006459,0.014533335,0.18476658,0.17672873
83,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240913/10MIN/WINDOWS_20240913.csv,10:35.5,1.4336,7,SRKW,0.086491786,0.25245827,0.14406806,0.1213526,0.013487952,0.17989182,0.20224942
84,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:22.8,12.419072,8,SRKW,0.053165715,0.30952287,0.1922048,0.05769489,0.011148028,0.22871621,0.14754745
85,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:26.8,8.855552,8,SRKW,0.04020958,0.3124048,0.20468858,0.05077433,0.009811365,0.224482,0.1576293
86,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:30.8,11.4688,8,SRKW,0.053991135,0.34903052,0.19263849,0.06546043,0.011943424,0.22593403,0.10100194
87,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:34.8,10.747904,8,SRKW,0.050103813,0.28567642,0.20855202,0.06026727,0.012485278,0.217964,0.16495122
88,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:38.8,5.505024,8,SRKW,0.04655757,0.2922872,0.21374154,0.04527029,0.006332757,0.2611508,0.13465983
89,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,15:42.8,9.273344,8,SRKW,0.052198235,0.28701022,0.21512143,0.057698056,0.012896899,0.22754805,0.1475271
90,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:22.8,7.483392,8,SRKW,0.053145014,0.31098962,0.20882842,0.06275089,0.012793131,0.21824728,0.13324565
91,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:26.8,6.9632,8,SRKW,0.036028087,0.3016172,0.23457378,0.040354837,0.010085641,0.24563551,0.13170484
