id,species,enc_id,rec_id,n,n10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
11,Dde,465,Ob16C_20161007_152509_949.wav,7,1,0.005528983,0.004940414,0.004051976,0.002621675,0.001744529,0.0012311,0.00031005,0.000557637,0.002367499,0.003029552,0.003365495,0.004154529,0.004808905,0.005079863,0.00494309,0.004791063,0.005211661,0.00529078,0.004942995,0.005641803,0.006178874,0.006067356,0.005389956,0.004430719,0.004533094,0.005788156,0.007328033,0.008365922,0.009058717,0.009665393,0.010407457,0.011325825,0.012296929,0.013198954,0.013999059,0.01470762,0.015342003,0.015918182,0.016450022,0.016949517,0.017426454,0.01788758,0.018336065,0.018771909,0.019192939,0.019595636,0.019975508,0.020327283,0.020645209,0.020923483,0.021156634,0.021339773,0.021468667,0.021539696,0.021549741,0.021496088,0.021376354,0.02118853,0.020931159,0.020603755,0.020207585,0.019746909,0.019230679,0.018674187,0.018099448,0.017532604,0.01699761,0.01650778,0.016059533,0.015633292,0.01520071,0.014732772,0.014209563,0.013632784,0.013015654,0.012338245,0.011555034,0.010685648,0.009877496,0.009288237,0.00902638
12,Dde,524,HF_20100917_162823.wav,6,1,0.00728098,0.007681727,0.007341015,0.006096896,0.004842,0.004173992,0.001746726,8.641728635943774e-06,0.000886685,0.001207113,0.001919084,0.003267963,0.005387617,0.007618778,0.009593018,0.011246486,0.012553467,0.013536232,0.01422561,0.014643205,0.014798288,0.014689051,0.014309051,0.013675709,0.012935037,0.012542672,0.013017693,0.014205885,0.015536114,0.01669799,0.017626122,0.018329017,0.018825077,0.019127958,0.019244659,0.019176538,0.018921623,0.018479646,0.017864642,0.017134798,0.016441137,0.016025089,0.016038111,0.016359283,0.01672759,0.016949448,0.01692496,0.016593375,0.015885228,0.014674488,0.012687924,0.009833749,0.009065422,0.011249789,0.013370587,0.014767298,0.015607539,0.016061987,0.016231233,0.016179623,0.015955917,0.01560392,0.015167339,0.014689284,0.014206191,0.013739236,0.013290625,0.012849291,0.012400579,0.011937615,0.011495976,0.011159389,0.01089892,0.010535803,0.009914823,0.009073736,0.008381399,0.007927226,0.00760158,0.006975795,0.006126692
13,Dde,415,SI20120620_171333.wav,80,8,6.388058841941936e-05,0.000492109,0.001321864,0.001615113,0.00155657,0.001661594,0.001907281,0.00295103,0.003915989,0.004311561,0.004663375,0.005353851,0.005997887,0.006537834,0.006724825,0.006862026,0.007360134,0.008138278,0.008679204,0.008931807,0.008837583,0.008837717,0.009392106,0.010073296,0.010564737,0.010879875,0.01107595,0.011188437,0.011407858,0.01167706,0.011991926,0.012416347,0.012879152,0.013251801,0.013637518,0.014117533,0.014724064,0.015183218,0.015413104,0.015491646,0.015459333,0.015380542,0.015397276,0.015468348,0.015485129,0.015395891,0.015153402,0.014995587,0.015091125,0.015344536,0.015747239,0.015925303,0.016235082,0.016616382,0.017038257,0.017443954,0.017705072,0.017858585,0.01786221,0.017827925,0.017888279,0.018040202,0.018144917,0.018221754,0.018180189,0.017971494,0.01778089,0.01769798,0.017541435,0.017282384,0.017085057,0.0168286,0.016433012,0.015883353,0.015286269,0.014911122,0.014760635,0.014407362,0.013842914,0.013248463,0.013045374
14,Ttr,539,HF_20100922_085731.wav,10,1,0.000424369,0.002687462,0.004873546,0.006351466,0.007057621,0.007082868,0.007002491,0.007213761,0.007751391,0.008231166,0.008521737,0.008862858,0.008624722,0.008396464,0.009616696,0.010898668,0.01104519,0.010072906,0.008707288,0.008583326,0.008668055,0.00937809,0.010819192,0.011768178,0.012518925,0.013125626,0.013471597,0.013748727,0.014088568,0.015017336,0.016092759,0.016602886,0.016329053,0.016333717,0.01698081,0.017689529,0.01787707,0.017984222,0.017938635,0.017696642,0.01726478,0.017008888,0.017148016,0.01693794,0.01612346,0.015523237,0.015358051,0.014998288,0.014126906,0.013471996,0.013006159,0.012381231,0.012182231,0.012907518,0.013763179,0.013952751,0.014325051,0.01442598,0.013473046,0.0121918,0.011655461,0.011357189,0.011287866,0.010895184,0.011062288,0.012347882,0.012422535,0.011403665,0.01085941,0.011180777,0.011711963,0.01236989,0.01324308,0.013907366,0.013894716,0.013447809,0.013304835,0.013523127,0.013992254,0.014606309,0.014820277
15,Dde,463,Ob16C_20161009_101111_088.wav,17,2,0.003671997,0.003501683,0.00305184,0.002172469,0.001287517,0.000429766,0.000139062,0.001159469,0.00184778,0.002418739,0.003147675,0.003624524,0.004165416,0.004668334,0.005053456,0.005477051,0.00594069,0.006483892,0.007168047,0.007851272,0.008552056,0.009144678,0.009453922,0.009435642,0.009203688,0.008724703,0.008701652,0.009176042,0.009350624,0.009610265,0.010395721,0.011162397,0.011937799,0.01273993,0.013514661,0.014221518,0.014849686,0.015400688,0.015877581,0.016283759,0.016624395,0.016907601,0.017145567,0.017355919,0.017562203,0.017790619,0.018061174,0.018378525,0.018730988,0.019097074,0.01945289,0.019777079,0.020053116,0.020269663,0.020419905,0.020500597,0.020511099,0.020452351,0.02032583,0.020132872,0.019874775,0.019553478,0.01917207,0.018734544,0.018244293,0.017699616,0.017080184,0.016295098,0.015559279,0.015452823,0.015375278,0.015076754,0.014629317,0.014070229,0.013369988,0.01247518,0.011720763,0.011381761,0.011191576,0.011175042,0.01132079
16,Gme,459,Ob16C_20161006_104732_126.wav,5,1,0.010696458,0.010694184,0.01071307,0.010768444,0.010830709,0.010819952,0.010668232,0.010423866,0.010430959,0.010852624,0.011267896,0.01141186,0.011429752,0.011656213,0.011962299,0.012345072,0.012743442,0.012782499,0.01199083,0.01163505,0.013372701,0.0144806,0.015112441,0.015460052,0.015645413,0.015770149,0.015867132,0.015903036,0.015843555,0.015676594,0.015402932,0.015034616,0.014592979,0.014079351,0.013394066,0.012895785,0.013590176,0.014455337,0.015009488,0.015385584,0.01564417,0.015813967,0.015895944,0.015861023,0.015635057,0.015207098,0.015388399,0.016216361,0.016855964,0.017297342,0.017609042,0.017813594,0.017914612,0.017908659,0.017790384,0.017554341,0.017195275,0.016707946,0.016087023,0.015327491,0.014426784,0.013393761,0.012282049,0.011259625,0.010556922,0.010171362,0.009877501,0.009509461,0.008995118,0.008293378,0.007376748,0.006260979,0.005091982,0.004100362,0.003128875,0.00216477,0.002428673,0.002621244,0.002132413,0.001108904,0
17,Ggr,105,2009-06-25a.WAV,54,5,0.000486446,0.000447649,0.000184424,7.332554213115714e-05,0.000444773,0.000947056,0.000830878,0.000852163,0.00065537,0.00034231,0.00078139,0.001189448,0.001230968,0.001642732,0.002118081,0.002390079,0.002467229,0.002878648,0.002713265,0.002866201,0.003636211,0.004888207,0.00614921,0.006017183,0.007040459,0.008334945,0.009022361,0.009875906,0.012057366,0.014433495,0.016198456,0.01719348,0.016964021,0.015991864,0.015076762,0.014914779,0.015248284,0.014962422,0.015140593,0.017199677,0.019563011,0.02131281,0.021601174,0.020944725,0.019405068,0.017368632,0.016071115,0.015156897,0.015353652,0.016001421,0.016586002,0.017140024,0.017967379,0.018171695,0.017905026,0.016803535,0.015086345,0.015061377,0.016133916,0.016980809,0.017540943,0.018040325,0.018914267,0.019683497,0.019130325,0.018970642,0.019082896,0.018863857,0.018819836,0.018317704,0.017389814,0.017280491,0.017653612,0.018158666,0.018323908,0.01793786,0.017496547,0.017583158,0.017868356,0.018212124,0.018228446
18,Ttr,539,HF_20100922_085731.wav,14,1,0.000140765,0.001201035,0.002877995,0.004172481,0.004840478,0.004889189,0.004535866,0.00496314,0.00567251,0.006291355,0.006720553,0.007022162,0.007131403,0.006952867,0.00735375,0.008412021,0.009252219,0.009635191,0.009599214,0.009398072,0.009517399,0.010025896,0.010566001,0.011210994,0.011838037,0.012154135,0.012784841,0.01334168,0.013597267,0.014024553,0.015237923,0.016490653,0.017391893,0.017987752,0.018130585,0.017777478,0.017237027,0.017124293,0.017387837,0.017922596,0.018317237,0.01824152,0.017521174,0.016552591,0.015668504,0.015394704,0.015561466,0.01566992,0.015539955,0.015080764,0.014757897,0.014169139,0.013556538,0.013359777,0.013990287,0.014261778,0.014183813,0.014477571,0.014329275,0.01404397,0.013552103,0.012905758,0.012681748,0.012686441,0.012750001,0.013328928,0.013318285,0.012797662,0.012639505,0.012968193,0.013532775,0.014028972,0.014159723,0.01405838,0.013702582,0.013230429,0.013408752,0.013774366,0.014071856,0.01439966,0.014514891
19,Dde,524,HF_20100917_162823.wav,4,0,0.004129038,0.00251707,0.000960345,0.000899361,0.00040251,0.000398943,0.003037097,0.004835137,0.005957515,0.006488901,0.006332508,0.005411807,0.004929168,0.005171381,0.005628008,0.006804138,0.007579774,0.007932687,0.00820384,0.008471545,0.008920976,0.009552245,0.010173389,0.010770693,0.011361125,0.011969561,0.012565095,0.013137372,0.013743266,0.014410637,0.015051568,0.015524372,0.015753385,0.015746548,0.015580316,0.015391872,0.015323758,0.015429513,0.015655527,0.01591254,0.016144985,0.016348577,0.016547794,0.016764357,0.016999736,0.017235841,0.017442227,0.017584377,0.017631725,0.017564796,0.017387335,0.017142107,0.016904602,0.016735565,0.016639052,0.016569918,0.016465543,0.016285951,0.016055237,0.015858765,0.015762896,0.015744959,0.015744049,0.015753049,0.015822239,0.015973917,0.016141123,0.016214313,0.016119246,0.015843091,0.015416475,0.014880126,0.014235841,0.013384297,0.012139096,0.010677263,0.010216539,0.010736158,0.011375348,0.011736362,0.01171059
20,Ttr,542,HF_20100918_171508.wav,4,0,0.001394027,0.001844598,0.001931433,0.000191796,0.000580904,0.001665692,0.002029586,0.001895694,0.002443343,0.003854694,0.005329443,0.006281702,0.007556091,0.008652927,0.009023733,0.008665959,0.008423212,0.009023973,0.009724093,0.010692973,0.011647433,0.012348749,0.01277168,0.012836762,0.012426488,0.01140246,0.009937627,0.010853357,0.013371438,0.015069133,0.016165822,0.016871555,0.01727487,0.01741478,0.017310754,0.016983787,0.016480318,0.015883478,0.015262237,0.014586477,0.013729007,0.012920249,0.012850111,0.012869751,0.012447372,0.012391231,0.013174536,0.013744638,0.013966374,0.014276698,0.014745973,0.015163654,0.015466602,0.015665303,0.015821615,0.015992341,0.016151017,0.016212611,0.016116154,0.015879021,0.015589513,0.01539692,0.015510015,0.015921267,0.016356155,0.016635563,0.01674066,0.016715113,0.016609415,0.0164542,0.016232882,0.015895887,0.015446606,0.015001783,0.014672739,0.01442561,0.014194805,0.013971549,0.013752893,0.013504172,0.013282919
